Date,House,anemia,arrhythmia,asthma,bacteria,biopsy,cancer,cardiomyopathy,cholesterol,coma,diabetes,embolism,encephalitis,epilepsy,hypertension,immunodeficiency,infection,leukemia,lupus,malaria,pneumonia,sepsis,stroke,tumor,Average
2013-05,7,59,54,43,45,57,73,46,52,26,57,21,50,37,43,8,71,57,52,20,21,40,50,26,43.82608695652174
2013-06,7,59,52,35,35,53,74,51,50,27,57,19,74,34,41,7,75,55,44,15,17,38,47,24,42.73913043478261
2013-07,8,61,53,33,32,54,73,100,52,25,57,20,45,33,40,6,74,55,57,15,15,41,48,25,44.08695652173913
2013-08,8,61,52,35,34,60,70,44,54,26,57,20,45,37,41,7,73,54,60,15,16,42,49,24,42.43478260869565
2013-09,7,63,58,41,54,53,70,48,56,26,57,21,44,38,42,8,70,57,54,16,20,44,49,24,44.04347826086956
2013-10,6,67,61,43,60,58,92,49,61,27,60,24,42,42,46,9,75,59,54,17,24,45,49,26,47.391304347826086
2013-11,6,65,56,40,50,57,70,45,65,30,65,24,38,43,44,8,74,59,48,17,28,46,53,26,45.69565217391305
2013-12,7,56,52,37,40,46,65,41,47,36,51,21,36,34,40,7,69,56,52,15,32,39,48,22,40.95652173913044
2014-01,7,60,57,43,44,52,69,43,55,40,60,25,41,37,45,8,76,54,54,15,38,43,49,23,44.82608695652174
2014-02,7,65,68,42,56,56,75,49,60,33,59,25,39,39,47,8,79,58,45,17,31,45,54,25,46.73913043478261
2014-03,6,68,59,42,51,54,74,48,58,30,61,23,41,46,47,9,72,59,46,18,27,46,52,26,45.95652173913044
2014-04,25,69,59,48,54,57,74,64,58,30,63,24,43,44,48,10,73,64,50,21,26,48,55,27,48.21739130434783
2014-05,20,61,57,42,50,59,74,45,50,27,59,23,42,42,44,8,72,59,56,19,21,44,53,26,44.91304347826087
2014-06,16,63,52,38,36,59,72,50,51,28,58,22,41,35,41,7,73,57,50,17,17,49,53,25,43.21739130434783
2014-07,14,62,53,37,40,58,71,46,52,26,60,22,41,39,40,7,71,54,44,17,16,46,52,25,42.56521739130435
2014-08,12,59,52,37,46,54,69,46,50,29,57,24,41,36,41,7,72,53,45,15,17,43,50,24,42.04347826086956
2014-09,10,65,60,44,53,62,74,51,57,33,62,21,43,38,42,9,70,55,45,17,24,49,52,26,45.73913043478261
2014-10,8,68,60,43,58,59,95,50,60,30,61,28,42,41,45,10,68,58,42,22,27,49,53,27,47.65217391304348
2014-11,8,64,54,44,47,53,66,46,56,28,62,30,35,43,48,9,68,54,37,17,30,44,50,25,43.91304347826087
2014-12,9,55,52,41,44,48,64,45,44,26,57,21,33,37,43,7,72,49,37,16,38,43,49,24,41.08695652173913
2015-01,10,63,56,43,45,53,72,47,52,29,57,22,36,37,46,9,73,52,40,15,38,60,50,25,44.34782608695652
2015-02,8,67,63,42,57,51,66,49,58,40,61,25,53,41,49,10,75,57,41,18,36,50,53,25,47.26086956521739
2015-03,8,70,62,47,55,58,72,47,59,30,65,27,43,45,54,10,75,60,47,17,31,51,55,27,48.130434782608695
2015-04,8,71,60,50,56,59,75,50,56,31,64,23,42,45,48,9,72,59,47,18,28,52,56,28,47.78260869565217
2015-05,8,65,58,43,51,58,77,46,51,29,62,23,37,41,45,8,70,57,54,18,24,51,54,26,45.56521739130435
2015-06,8,61,55,37,57,65,73,44,52,27,63,21,46,39,44,7,70,55,44,14,20,49,55,27,44.56521739130435
2015-07,8,65,55,37,44,59,73,48,52,27,63,21,39,39,43,7,75,52,45,15,19,52,54,26,43.91304347826087
2015-08,8,63,56,38,37,61,73,49,52,27,60,21,42,38,46,7,72,51,42,12,19,50,53,25,43.21739130434783
2015-09,7,65,59,43,58,61,84,53,59,28,59,22,50,42,47,9,73,58,43,15,25,54,59,27,47.52173913043478
2015-10,8,70,62,46,58,61,98,61,57,35,62,26,43,45,50,9,73,65,100,18,30,58,66,26,53.0
2015-11,9,65,55,45,54,57,74,65,58,29,63,25,38,46,49,9,77,60,45,17,33,55,56,25,47.82608695652174
2015-12,10,63,54,41,45,56,70,54,50,26,59,21,36,38,46,8,72,55,48,16,36,51,54,25,44.52173913043478
2016-01,12,62,53,42,48,59,82,47,50,26,63,21,33,36,48,8,75,53,44,14,34,49,51,23,44.391304347826086
2016-02,11,70,62,46,61,62,81,48,54,27,63,27,36,41,52,10,81,56,46,17,37,57,61,25,48.69565217391305
2016-03,10,81,62,45,60,64,79,47,56,27,67,22,36,44,51,9,76,58,44,16,35,75,59,26,49.52173913043478
2016-04,9,69,58,46,57,62,77,51,56,25,63,24,34,45,53,10,76,57,49,17,28,61,59,25,47.91304347826087
2016-05,8,67,54,42,52,58,73,45,52,27,63,21,31,39,47,8,67,54,51,16,23,50,61,25,44.608695652173914
2016-06,8,61,52,39,56,65,74,44,50,26,62,21,31,39,45,7,74,51,44,13,19,59,59,24,44.130434782608695
2016-07,8,59,49,36,50,58,70,41,44,24,58,20,31,38,43,7,74,48,44,11,17,59,55,25,41.78260869565217
2016-08,7,57,50,38,38,63,68,46,49,23,57,22,32,35,44,7,73,49,55,12,17,52,59,24,42.17391304347826
2016-09,7,64,53,43,57,58,80,43,57,24,60,21,33,40,46,9,73,57,62,13,39,63,61,26,47.04347826086956
2016-10,7,66,54,43,56,61,84,46,53,29,58,24,33,38,47,9,76,52,50,13,30,56,62,25,46.30434782608695
2016-11,11,70,55,48,51,64,70,51,51,28,73,50,42,44,37,12,75,57,55,14,35,56,63,2,47.95652173913044
